"","id","player_of_match","toss_winner","t","winner","result","result_margin","eliminator","method","umpire_team","Field","FieldValue","TeamNumber","Team"
"3005",980979,"A Zampa","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","runs",4,"N",NA,"CB Gaffaney/VK Sharma","date","10/05/2016","team1","Rising Pune Supergiants"
"3006",980981,"KH Pandya","Mumbai Indians","field","Mumbai Indians","wickets",6,"N",NA,"AY Dandekar/C Shamshuddin","date","11/05/2016","team1","Royal Challengers Bangalore"
"3007",980983,"CH Morris","Delhi Daredevils","field","Delhi Daredevils","wickets",7,"N",NA,"K Bharatan/M Erasmus","date","12/05/2016","team1","Sunrisers Hyderabad"
"3008",980985,"MP Stoinis","Mumbai Indians","bat","Kings XI Punjab","wickets",7,"N",NA,"HDPK Dharmasena/CK Nandan","date","13/05/2016","team1","Mumbai Indians"
"3009",980987,"AB de Villiers","Gujarat Lions","field","Royal Challengers Bangalore","runs",144,"N",NA,"AY Dandekar/VK Sharma","date","14/05/2016","team1","Royal Challengers Bangalore"
"3010",980989,"YK Pathan","Rising Pune Supergiants","bat","Kolkata Knight Riders","wickets",8,"N","D/L","A Nand Kishore/BNJ Oxenford","date","14/05/2016","team1","Kolkata Knight Riders"
"3011",980991,"HM Amla","Kings XI Punjab","bat","Sunrisers Hyderabad","wickets",7,"N",NA,"KN Ananthapadmanabhan/M Erasmus","date","15/05/2016","team1","Kings XI Punjab"
"3012",980993,"KH Pandya","Delhi Daredevils","field","Mumbai Indians","runs",80,"N",NA,"Nitin Menon/CK Nandan","date","15/05/2016","team1","Mumbai Indians"
"3013",980995,"V Kohli","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",9,"N",NA,"CB Gaffaney/A Nand Kishore","date","16/05/2016","team1","Kolkata Knight Riders"
"3014",980997,"AB Dinda","Rising Pune Supergiants","field","Rising Pune Supergiants","runs",19,"N","D/L","Nitin Menon/C Shamshuddin","date","17/05/2016","team1","Rising Pune Supergiants"
"3015",980999,"V Kohli","Kings XI Punjab","field","Royal Challengers Bangalore","runs",82,"N","D/L","KN Ananthapadmanabhan/M Erasmus","date","18/05/2016","team1","Royal Challengers Bangalore"
"3016",981001,"DR Smith","Gujarat Lions","field","Gujarat Lions","wickets",6,"N",NA,"AK Chaudhary/CK Nandan","date","19/05/2016","team1","Gujarat Lions"
"3017",981003,"KK Nair","Delhi Daredevils","field","Delhi Daredevils","wickets",6,"N",NA,"A Nand Kishore/BNJ Oxenford","date","20/05/2016","team1","Delhi Daredevils"
"3018",981005,"MS Dhoni","Kings XI Punjab","bat","Rising Pune Supergiants","wickets",4,"N",NA,"HDPK Dharmasena/Nitin Menon","date","21/05/2016","team1","Rising Pune Supergiants"
"3019",981007,"SK Raina","Gujarat Lions","field","Gujarat Lions","wickets",6,"N",NA,"AK Chaudhary/CK Nandan","date","21/05/2016","team1","Gujarat Lions"
"3020",981009,"YK Pathan","Sunrisers Hyderabad","field","Kolkata Knight Riders","runs",22,"N",NA,"KN Ananthapadmanabhan/M Erasmus","date","22/05/2016","team1","Kolkata Knight Riders"
"3021",981011,"V Kohli","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",6,"N",NA,"A Nand Kishore/BNJ Oxenford","date","22/05/2016","team1","Delhi Daredevils"
"3022",981013,"AB de Villiers","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",4,"N",NA,"AK Chaudhary/HDPK Dharmasena","date","24/05/2016","team1","Gujarat Lions"
"3023",981015,"MC Henriques","Kolkata Knight Riders","field","Sunrisers Hyderabad","runs",22,"N",NA,"M Erasmus/C Shamshuddin","date","25/05/2016","team1","Sunrisers Hyderabad"
"3024",981017,"DA Warner","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",4,"N",NA,"M Erasmus/CK Nandan","date","27/05/2016","team1","Gujarat Lions"
"3025",981019,"BCJ Cutting","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","runs",8,"N",NA,"HDPK Dharmasena/BNJ Oxenford","date","29/05/2016","team1","Royal Challengers Bangalore"
"3026",1082591,"Yuvraj Singh","Royal Challengers Bangalore","field","Sunrisers Hyderabad","runs",35,"N",NA,"AY Dandekar/NJ Llong","date","05/04/2017","team1","Sunrisers Hyderabad"
"3027",1082592,"SPD Smith","Rising Pune Supergiant","field","Rising Pune Supergiant","wickets",7,"N",NA,"A Nand Kishore/S Ravi","date","06/04/2017","team1","Rising Pune Supergiant"
"3028",1082593,"CA Lynn","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",10,"N",NA,"Nitin Menon/CK Nandan","date","07/04/2017","team1","Gujarat Lions"
"3029",1082594,"GJ Maxwell","Kings XI Punjab","field","Kings XI Punjab","wickets",6,"N",NA,"AK Chaudhary/C Shamshuddin","date","08/04/2017","team1","Kings XI Punjab"
"3030",1082595,"KM Jadhav","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",15,"N",NA,"S Ravi/VK Sharma","date","08/04/2017","team1","Royal Challengers Bangalore"
"3031",1082596,"Rashid Khan","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",9,"N",NA,"A Deshmukh/NJ Llong","date","09/04/2017","team1","Sunrisers Hyderabad"
